month,City,Air_code,State,Airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
1,Aberdeen,ABR,SD,Aberdeen Regional,62,4,1.03,0,1.09,0,1.88,2,1,307,43,0,87,0,177
1,Abilene,ABI,TX,Abilene Regional,28,9,4.94,0,2.28,0,1.78,1,0,933,589,0,83,0,261
1,Adak Island,ADK,AK,Adak,9,4,0,0,2,0,2,0,0,142,0,0,86,0,56
1,Aguadilla,BQN,PR,Rafael Hernandez,159,32,15.6,1.54,6.26,0,8.6,2,0,2375,1086,102,301,0,886
1,Akron,CAK,OH,Akron-Canton Regional,504,96,23.83,3.9,31.53,0,36.76,18,2,7264,2632,539,1376,0,2717
1,Albany,ABY,GA,Southwest Georgia Regional,82,20,9.22,0,2.46,0,8.32,1,1,1530,744,0,173,0,613
1,Albany,ALB,NY,Albany International,768,129,56.14,2.6,20.93,0,49.33,8,1,8514,4437,199,752,0,3126
1,Albuquerque,ABQ,NM,Albuquerque International Sunport,1391,333,104.26,5.31,53.84,0.97,168.6,15,1,15169,4896,166,1615,29,8463
1,Alexandria,AEX,LA,Alexandria International,258,56,20.88,0,12.06,0,23.06,10,1,4536,2374,0,686,0,1476
1,Allentown/Bethlehem/Easton,ABE,PA,Lehigh Valley International,192,47,24.18,1.81,8.97,0,12.04,4,0,5235,3940,115,328,0,852
1,Alpena,APN,MI,Alpena County Regional,53,8,1.31,2,2.02,0,2.67,12,0,600,94,276,72,0,158
1,Amarillo,AMA,TX,Rick Husband Amarillo International,249,49,15.63,0.3,10.23,0,22.86,4,0,2633,687,64,515,0,1367
1,Anchorage,ANC,AK,Ted Stevens Anchorage International,1219,192,51.75,13.12,50.6,1.21,75.31,30,1,11142,3150,1147,1888,28,4929
1,Appleton,ATW,WI,Appleton International,213,49,18.1,2,18.86,0,10.04,14,0,4641,2240,1034,636,0,731
1,Arcata/Eureka,ACV,CA,California Redwood Coast Humboldt County,93,23,4.33,0,6.14,0,12.52,9,0,1129,262,0,208,0,659
1,Asheville,AVL,NC,Asheville Regional,212,49,26.98,2,5.33,0,14.68,8,2,3017,1440,201,215,0,1161
