month,City,Air_code,State,Airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,Cold,Fog,Hail,Precipitation,Rain,Snow,Storm,EventTotal,Avg_Severity,LocationLat,LocationLng,County,ZipCode
1,Aberdeen,ABR,SD,Aberdeen Regional,62,4,1.03,0,1.09,0,1.88,2,1,307,43,0,87,0,177,8,24,0,0,0,35,0,67,2.074626866,45.4436,-98.4138,Brown,57401
1,Abilene,ABI,TX,Abilene Regional,28,9,4.94,0,2.28,0,1.78,1,0,933,589,0,83,0,261,4,9,0,0,15,1,1,30,2.5,32.4113,-99.6819,Taylor,79602
1,Akron,CAK,OH,Akron-Canton Regional,504,96,23.83,3.9,31.53,0,36.76,18,2,7264,2632,539,1376,0,2717,0,25,0,0,64,45,0,134,1.447761194,41.0375,-81.4642,Summit,44306
1,Albany,ABY,GA,Southwest Georgia Regional,82,20,9.22,0,2.46,0,8.32,1,1,1530,744,0,173,0,613,0,11,0,1,68,0,0,80,1.8125,31.5365,-84.1957,Dougherty,31721
1,Albuquerque,ABQ,NM,Albuquerque International Sunport,1391,333,104.26,5.31,53.84,0.97,168.6,15,1,15169,4896,166,1615,29,8463,0,5,0,0,27,3,0,35,1.285714286,35.0417,-106.6147,Bernalillo,87106
1,Alexandria,AEX,LA,Alexandria International,258,56,20.88,0,12.06,0,23.06,10,1,4536,2374,0,686,0,1476,0,6,0,0,61,3,0,70,1.628571429,31.3347,-92.5586,Rapides,71303
1,Alpena,APN,MI,Alpena County Regional,53,8,1.31,2,2.02,0,2.67,12,0,600,94,276,72,0,158,0,26,0,0,15,70,0,111,1.81981982,45.0717,-83.5644,Alpena,49707
1,Amarillo,AMA,TX,Rick Husband Amarillo International,249,49,15.63,0.3,10.23,0,22.86,4,0,2633,687,64,515,0,1367,0,7,0,0,39,20,0,66,1.666666667,35.2202,-101.7173,Potter,79108
1,Aspen,ASE,CO,Aspen Pitkin County Sardy Field,694,193,55.26,15.07,57.29,1,64.39,68,36,14405,4981,1159,2855,653,4757,1,24,0,0,4,66,0,95,1.673684211,39.2299,-106.8705,Pitkin,81611
1,Atlanta,ATL,GA,Hartsfield-Jackson Atlanta International,30135,4880,1351.46,198.28,1348.94,4.66,1976.69,676,118,434683,161822,24850,84960,241,162810,0,6,0,0,58,2,0,66,1.681818182,33.6301,-84.4418,Clayton,30320
1,Atlanta,ATL,GA,Hartsfield-Jackson Atlanta International,30135,4880,1351.46,198.28,1348.94,4.66,1976.69,676,118,434683,161822,24850,84960,241,162810,6,10,0,1,61,1,0,79,1.848101266,33.7776,-84.5246,Fulton,30336
1,Atlanta,ATL,GA,Hartsfield-Jackson Atlanta International,30135,4880,1351.46,198.28,1348.94,4.66,1976.69,676,118,434683,161822,24850,84960,241,162810,0,12,0,0,63,2,0,77,1.753246753,33.8784,-84.298,DeKalb,30341
1,Augusta,AGS,GA,Augusta Regional at Bush Field,194,47,21.82,0.52,5.76,0,18.89,6,0,3718,1504,55,316,0,1843,0,28,0,3,77,1,0,109,2.082568807,33.3644,-81.9633,Richmond,30906
1,Augusta,AGS,GA,Augusta Regional at Bush Field,194,47,21.82,0.52,5.76,0,18.89,6,0,3718,1504,55,316,0,1843,0,22,0,0,102,2,0,126,1.833333333,33.4669,-82.0384,Richmond,30904
1,Austin,AUS,TX,Austin - Bergstrom International,3743,747,247.21,26.24,146.1,2.55,324.89,21,6,41406,13892,2739,5069,137,19569,0,6,0,0,43,0,0,49,1.714285714,30.3207,-97.7601,Travis,78731
1,Austin,AUS,TX,Austin - Bergstrom International,3743,747,247.21,26.24,146.1,2.55,324.89,21,6,41406,13892,2739,5069,137,19569,0,9,0,1,38,0,0,48,1.8125,30.1945,-97.6699,Travis,78719
1,Bakersfield,BFL,CA,Meadows Field,178,31,9.81,0,11.74,0,9.46,3,0,1418,550,0,395,0,473,1,20,0,0,46,0,0,67,1.537313433,35.4344,-119.0542,Kern,93308
1,Baltimore,BWI,MD,Baltimore/Washington International Thurgood Marshall,7645,1243,346.49,27.04,303.9,2.71,562.87,166,9,65226,18577,2453,11812,74,32310,0,11,1,0,48,14,0,74,1.567567568,39.1733,-76.684,Anne Arundel,21240
1,Baltimore,BWI,MD,Baltimore/Washington International Thurgood Marshall,7645,1243,346.49,27.04,303.9,2.71,562.87,166,9,65226,18577,2453,11812,74,32310,0,0,0,2,0,0,0,2,1,39.2814,-76.6111,Baltimore City,21202
1,Baton Rouge,BTR,LA,Baton Rouge Metropolitan/Ryan Field,513,106,48.8,1.13,19.87,0,36.19,20,3,8996,5521,142,864,0,2469,0,20,0,0,57,0,0,77,2,30.5378,-91.1468,East Baton Rouge,70807
1,Bellingham,BLI,WA,Bellingham International,76,14,4.01,1,2.33,0,6.66,0,1,602,249,73,65,0,215,0,5,0,0,20,3,0,28,1.607142857,48.7991,-122.5406,Whatcom,98226
1,Bemidji,BJI,MN,Bemidji Regional,62,8,3,0.33,2.67,0,2,0,0,328,146,7,96,0,79,9,39,0,0,2,56,0,106,2.047169811,47.5076,-94.9278,Beltrami,56601
1,Billings,BIL,MT,Billings Logan International,239,34,7.71,1.22,11.84,0,13.23,2,1,1776,372,130,526,0,748,0,12,0,0,3,26,1,42,1.666666667,45.8069,-108.5422,Yellowstone,59105
1,Birmingham,BHM,AL,Birmingham-Shuttlesworth International,914,191,75.1,8.38,27.61,0,79.91,23,3,13364,5610,795,1191,0,5768,0,2,0,1,60,4,1,68,1.617647059,33.5655,-86.7449,Jefferson,35206
1,Boise,BOI,ID,Boise Air Terminal,1206,313,80.96,9.81,55.06,0.73,166.43,11,3,19505,6800,846,2319,29,9511,0,54,0,0,17,91,0,162,1.759259259,43.567,-116.2405,Ada,83705
1,Brainerd,BRD,MN,Brainerd Lakes Regional,53,6,1.31,0.88,0.2,0,3.6,0,0,455,214,60,11,0,170,7,48,0,0,3,37,0,95,2.273684211,46.4021,-94.1273,Crow Wing,56401
1,Brownsville,BRO,TX,Brownsville South Padre Island International,106,11,2.77,0,1.48,0,6.75,0,1,1231,474,0,182,0,575,0,16,0,0,14,0,0,30,2.533333333,25.9146,-97.4231,Cameron,78521
1,Buffalo,BUF,NY,Buffalo Niagara International,1365,277,94.76,6.35,52.15,0.8,122.93,27,5,15332,4470,464,1787,20,8591,0,12,1,0,34,46,2,95,1.536842105,42.94,-78.736,Erie,14225
1,Burbank,BUR,CA,Bob Hope,1968,558,127.35,10.4,111.5,0,308.75,66,4,27828,6002,1271,3920,0,16635,0,2,0,0,52,0,0,54,1.333333333,34.1997,-118.3654,Los Angeles,91505
1,Butte,BTM,MT,Bert Mooney,58,7,1.69,0.98,2.29,0,2.03,3,2,776,89,511,73,0,103,13,26,0,0,0,31,0,70,2.428571429,45.9647,-112.5006,Silver Bow,59701
1,Casper,CPR,WY,Casper/Natrona County International,67,13,5.16,0,5.42,0,2.42,0,0,723,440,0,163,0,120,3,9,0,0,1,33,8,54,1.888888889,42.8975,-106.4731,Natrona,82604
1,Casper,CPR,WY,Casper/Natrona County International,67,13,5.16,0,5.42,0,2.42,0,0,723,440,0,163,0,120,3,7,0,0,1,35,10,56,1.928571429,42.5587,-106.8474,Natrona,82604
1,Casper,CPR,WY,Casper/Natrona County International,67,13,5.16,0,5.42,0,2.42,0,0,723,440,0,163,0,120,3,7,0,0,1,35,10,56,1.928571429,43.1235,-106.3375,Natrona,82601
1,Cedar City,CDC,UT,Cedar City Regional,53,17,2.86,0,13.27,0,0.87,1,0,710,174,0,478,0,58,2,7,0,0,13,44,0,66,1.651515152,37.7067,-113.097,Iron,84721
1,Chattanooga,CHA,TN,Lovell Field,412,109,35.61,6.86,27.66,0,38.89,8,0,12549,5482,1856,1311,0,3900,0,14,0,1,66,4,0,85,1.647058824,35.0353,-85.2038,Hamilton,37421
1,Chicago,MDW,IL,Chicago Midway International,6615,1124,251,84.45,254.05,2.07,532.43,204,55,58015,12986,6799,10023,52,28155,0,14,1,0,40,13,1,69,1.666666667,41.7841,-87.7551,Cook,60638
1,Chicago,ORD,IL,Chicago O'Hare International,18783,3773,839.77,121.85,1482.42,1.39,1327.58,355,28,275078,76337,13398,76920,145,108278,0,14,1,0,40,13,1,69,1.666666667,41.7841,-87.7551,Cook,60638
1,Cincinnati,CVG,OH,Cincinnati/Northern Kentucky International,1037,204,66.71,12.44,46.99,0,77.86,7,2,14614,4674,2054,1832,0,6054,0,16,0,0,50,10,0,76,1.657894737,39.1033,-84.4186,Hamilton,45226
1,Cleveland,CLE,OH,Cleveland-Hopkins International,2614,513,170.93,17.85,122.35,1.18,200.69,43,6,34633,12744,1674,5618,37,14560,0,27,0,0,46,44,0,117,1.726495726,41.5173,-81.6832,Cuyahoga,44114
1,Cleveland,CLE,OH,Cleveland-Hopkins International,2614,513,170.93,17.85,122.35,1.18,200.69,43,6,34633,12744,1674,5618,37,14560,0,11,1,0,23,22,0,57,1.596491228,41.5651,-81.4864,Cuyahoga,44143
1,Cleveland,CLE,OH,Cleveland-Hopkins International,2614,513,170.93,17.85,122.35,1.18,200.69,43,6,34633,12744,1674,5618,37,14560,0,10,0,0,59,50,2,121,1.396694215,41.4057,-81.8519,Cuyahoga,44135
1,Cody,COD,WY,Yellowstone Regional,61,10,1.69,0.73,6.13,0,1.44,1,1,427,71,70,227,0,59,4,3,0,0,0,15,0,22,1.863636364,44.75,-109.37,Park,82414
1,Cody,COD,WY,Yellowstone Regional,61,10,1.69,0.73,6.13,0,1.44,1,1,427,71,70,227,0,59,4,8,0,0,0,21,0,33,2.03030303,44.5202,-109.0238,Park,82414
1,Colorado Springs,COS,CO,City of Colorado Springs Municipal,743,200,56.25,4.65,68.86,0,70.24,11,7,14145,5511,420,2661,0,5553,0,5,0,0,2,22,5,34,1.941176471,38.8095,-104.6887,El Paso,80916
1,Colorado Springs,COS,CO,City of Colorado Springs Municipal,743,200,56.25,4.65,68.86,0,70.24,11,7,14145,5511,420,2661,0,5553,4,15,1,0,29,47,17,113,1.96460177,38.75,-104.85,El Paso,80926
1,Colorado Springs,COS,CO,City of Colorado Springs Municipal,743,200,56.25,4.65,68.86,0,70.24,11,7,14145,5511,420,2661,0,5553,0,4,0,0,6,39,4,53,1.452830189,38.6784,-104.7566,El Paso,80913
1,Columbia,CAE,SC,Columbia Metropolitan,327,75,36.74,0.54,10.02,0,27.7,5,0,7159,4343,30,572,0,2214,5,5,0,0,67,3,0,80,1.725,33.972,-80.9938,Richland,29205
1,Columbus,CMH,OH,John Glenn Columbus International,1878,375,145.55,13.07,53.85,0.25,162.26,21,4,22457,8861,1549,1985,8,10054,0,7,0,0,60,17,0,84,1.19047619,39.9907,-82.8769,Franklin,43219
1,Columbus,CMH,OH,John Glenn Columbus International,1878,375,145.55,13.07,53.85,0.25,162.26,21,4,22457,8861,1549,1985,8,10054,6,21,0,0,57,25,0,109,1.431192661,39.8138,-82.9278,Franklin,43217
1,Columbus,CMH,OH,John Glenn Columbus International,1878,375,145.55,13.07,53.85,0.25,162.26,21,4,22457,8861,1549,1985,8,10054,0,9,0,0,44,23,0,76,1.394736842,40.0781,-83.0781,Franklin,43235
1,Columbus,CMH,OH,John Glenn Columbus International,1878,375,145.55,13.07,53.85,0.25,162.26,21,4,22457,8861,1549,1985,8,10054,0,3,0,0,38,14,0,55,1.218181818,39.9012,-83.1369,Franklin,43228
1,Columbus,CSG,GA,Columbus Airport,79,18,10.11,0,3.37,0,4.52,4,0,876,528,0,97,0,251,0,5,0,1,90,0,0,96,1.65625,32.5161,-84.9422,Muscogee,31909
1,Columbus,GTR,MS,Golden Triangle Regional,82,19,13.71,0,0.81,0,4.48,5,0,2243,1923,0,96,0,224,5,9,1,7,31,1,0,54,1.703703704,33.6438,-88.4438,Lowndes,39705
1,Columbus,GTR,MS,Golden Triangle Regional,82,19,13.71,0,0.81,0,4.48,5,0,2243,1923,0,96,0,224,0,4,1,0,16,1,0,22,1.590909091,33.4503,-88.5914,Lowndes,39701
1,Corpus Christi,CRP,TX,Corpus Christi International,200,32,13.81,0.37,7.37,0,10.44,1,0,1530,641,23,203,0,663,0,8,0,0,24,0,1,33,1.696969697,27.7734,-97.513,Nueces,78406
1,Corpus Christi,CRP,TX,Corpus Christi International,200,32,13.81,0.37,7.37,0,10.44,1,0,1530,641,23,203,0,663,0,15,0,0,13,0,0,28,2.107142857,27.6926,-97.2911,Nueces,78419
1,Dallas,DAL,TX,Dallas Love Field,5883,1160,293.27,30.94,230.57,0.64,604.59,121,26,55781,13939,2316,8953,14,30559,0,14,0,0,35,1,1,51,1.980392157,32.8542,-96.8551,Dallas,75235
1,Dallas,DAL,TX,Dallas Love Field,5883,1160,293.27,30.94,230.57,0.64,604.59,121,26,55781,13939,2316,8953,14,30559,0,8,0,0,37,1,1,47,1.829787234,32.8974,-97.022,Dallas,75261
1,Dallas,DAL,TX,Dallas Love Field,5883,1160,293.27,30.94,230.57,0.64,604.59,121,26,55781,13939,2316,8953,14,30559,0,10,0,0,28,2,0,40,1.95,32.6809,-96.8682,Dallas,75237
1,Dayton,DAY,OH,James M Cox/Dayton International,378,72,28.27,5.03,13.91,0,24.79,7,0,4641,1605,759,442,0,1835,1,7,0,0,55,18,0,81,1.333333333,39.8261,-84.0483,Greene,45433
1,Daytona Beach,DAB,FL,Daytona Beach International,150,24,6.56,4.85,4.62,0,7.97,1,0,2053,760,381,310,0,602,0,30,0,0,20,0,0,50,1.98,29.1735,-81.0719,Volusia,32114
1,Denver,DEN,CO,Denver International,17021,3738,886.25,136.73,1371.5,3.36,1340.14,303,14,230634,62126,11503,64433,130,92442,0,11,0,0,0,19,0,30,1.866666667,39.8466,-104.6562,Denver,80249
1,Detroit,DTW,MI,Detroit Metro Wayne County,9708,1764,509.26,71.03,500.84,2.26,680.58,190,16,142304,58850,8998,22740,90,51626,1,19,0,0,35,36,0,91,1.549450549,42.4073,-83.0089,Wayne,48234
1,Detroit,DTW,MI,Detroit Metro Wayne County,9708,1764,509.26,71.03,500.84,2.26,680.58,190,16,142304,58850,8998,22740,90,51626,0,32,2,0,43,52,0,129,1.643410853,42.2314,-83.3308,Wayne,48242
1,Devils Lake,DVL,ND,Devils Lake Regional,54,10,2.13,0.24,1.62,0,6.01,9,0,691,175,10,58,0,448,10,28,0,0,5,50,1,94,2.138297872,48.1142,-98.9088,Ramsey,58301
1,Dothan,DHN,AL,Dothan Regional,113,27,15.87,0,3.03,0,8.1,4,1,2041,1220,0,156,0,665,0,10,0,1,83,0,0,94,1.882978723,31.3213,-85.4496,Dale,36303
1,Duluth,DLH,MN,Duluth International,179,18,4.04,1,7.24,0,5.72,4,1,774,157,19,265,0,333,6,11,0,0,13,44,0,74,1.72972973,46.8435,-92.1866,St. Louis,55811
1,Duluth,DLH,MN,Duluth International,179,18,4.04,1,7.24,0,5.72,4,1,774,157,19,265,0,333,3,30,0,0,11,37,0,81,1.851851852,46.7245,-92.0445,St. Louis,55802
1,Eau Claire,EAU,WI,Chippewa Valley Regional,58,6,1.76,0,0.08,0,4.16,4,0,229,113,0,2,0,114,7,40,0,0,16,44,0,107,2.130841121,44.8667,-91.488,Chippewa,54703
1,El Paso,ELP,TX,El Paso International,927,248,76.59,6.06,49.87,0.21,115.26,7,1,12992,4817,519,1644,7,6005,0,2,1,0,20,0,1,24,1.5,31.8111,-106.3758,El Paso,79925
