month,Cold,Fog,Hail,Precipitation,Rain,Snow,Storm,EventTotal,Avg_Severity,LocationLat,LocationLng,City,County,State,ZipCode
1,0.0,36.0,0.0,1.0,58.0,2.0,0.0,97,2.0721649484536084,34.4917,-88.2011,Belmont,Tishomingo,MS,38827.0
1,1.0,10.0,0.0,0.0,4.0,39.0,0.0,54,1.5555555555555556,38.0972,-106.1689,Saguache,Saguache,CO,81149.0
1,5.0,20.0,0.0,0.0,16.0,35.0,0.0,76,1.8157894736842106,46.0244,-92.8991,Hinckley,Pine,MN,55037.0
1,0.0,4.0,0.0,1.0,0.0,21.0,0.0,26,1.9230769230769231,48.8844,-99.6208,Rolla,Rolette,ND,58367.0
1,42.0,26.0,0.0,0.0,0.0,70.0,0.0,138,2.2753623188405796,48.3008,-102.4064,Stanley,Mountrail,ND,58784.0
1,0.0,6.0,0.0,0.0,104.0,19.0,0.0,129,1.062015503875969,36.3712,-82.1734,Elizabethton,Carter,TN,37643.0
1,6.0,25.0,0.0,0.0,1.0,37.0,28.0,97,2.4948453608247423,39.7945,-105.7639,Granby,Grand,CO,80446.0
1,1.0,2.0,0.0,0.0,20.0,29.0,0.0,52,1.25,34.9837,-105.9958,Moriarty,Torrance,NM,87035.0
1,1.0,15.0,0.0,1.0,28.0,4.0,0.0,49,2.061224489795918,33.6011,-97.7735,Bowie,Montague,TX,76230.0
1,5.0,11.0,0.0,1.0,88.0,0.0,0.0,105,1.7333333333333334,31.0425,-86.3117,Florala,Covington,AL,36442.0
1,0.0,20.0,0.0,0.0,54.0,20.0,0.0,94,1.6808510638297873,36.6541,-83.2178,District 2,Lee,VA,24263.0
1,4.0,8.0,0.0,5.0,63.0,0.0,0.0,80,1.6,30.2189,-96.3742,Brenham,Washington,TX,77833.0
1,6.0,40.0,0.0,0.0,0.0,48.0,0.0,94,1.851063829787234,45.9017,-94.8727,Long Prairie,Todd,MN,56347.0
1,0.0,16.0,0.0,0.0,45.0,14.0,0.0,75,1.6666666666666667,35.2228,-83.415,Franklin,Macon,NC,28734.0
